,status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry
153,Processed,0.098,11.0048,0.2116,1.2328,FL-1102350,EU020M,Italy,ITA,1102350,Green,1,2023-11-21T01:00:00,2023-11-23T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102350&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102350&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102350,"{'type': 'Point', 'coordinates': [14.2914819, 42.4168011]}"
154,Processed,49.6476,73.0796,56.7212,58.6524,FL-1102335,EU020M,France,FRA,1102335,Green,1,2023-11-14T01:00:00,2023-11-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102335&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102335&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102335,"{'type': 'Point', 'coordinates': [6.3445369915871, 46.06882085]}"
155,Processed,38.6356,73.0796,54.41,58.6524,FL-1102336,EU020M,Germany,DEU,1102336,Green,1,2023-11-14T01:00:00,2023-11-16T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102336&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102336&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102336,"{'type': 'Point', 'coordinates': [7.95420097639847, 47.9626264]}"
156,Processed,60.8104,238.742,73.106,64.014,FL-1102327,EU020M,Belgium,BEL,1102327,Green,1,2023-11-10T01:00:00,2023-11-12T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102327&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102327&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102327,"{'type': 'Point', 'coordinates': [2.7643391, 50.9638066]}"
157,Processed,144.8804,87.3724,181.9304,174.342,FL-1102408,EU020M,France,FRA,1102408,Orange,2,2023-12-30T12:00:00,2024-01-03T13:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102408&episodeid=3,https://www.gdacs.org/report.aspx?eventid=1102408&episodeid=3&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102408,"{'type': 'Point', 'coordinates': [-1.5541362, 47.2186371]}"
158,Processed,390.3992,413.428,418.8508,419.6488,FL-1102407,EU020M,Germany,DEU,1102407,Orange,2,2023-12-18T11:00:00,2024-01-03T12:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102407&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102407&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102407,"{'type': 'Point', 'coordinates': [9.075962, 52.8398531]}"
159,Processed,390.3992,413.428,418.8508,419.6488,FL-1102413,EU020M,Germany,DEU,1102413,Green,1,2023-12-25T01:00:00,2023-12-27T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102413&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102413&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102413,"{'type': 'Point', 'coordinates': [10.8732521, 51.4656509]}"
160,Processed,33.6036,93.5832,44.7752,41.926,FL-1102396,EU020M,Switzerland,CHE,1102396,Green,1,2023-12-11T01:00:00,2023-12-13T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102396&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102396&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102396,"{'type': 'Point', 'coordinates': [6.14231062909393, 46.2047169]}"
161,Processed,0.072,2.3284,1.2992,3.9912,FL-1102414,EU020M,Italy,ITA,1102414,Green,1,2024-01-06T01:00:00,2024-01-08T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102414&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102414&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102414,"{'type': 'Point', 'coordinates': [9.8642208, 46.2203043]}"
162,Processed,84.9064,87.3724,104.282,82.28,FL-1102410,EU020M,Belgium,BEL,1102410,Green,1,2024-01-02T01:00:00,2024-01-04T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102410&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102410&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102410,"{'type': 'Point', 'coordinates': [4.4955009, 50.0524906]}"
