status,ensemble,tuw,list,dlr,GDACS_ID,equi7_grid_code,country,iso3,eventid,alertlevel,alertscore,fromdate,todate,geometry_url,report_url,details_url,geometry,ensemble_daily_extent,tuw_daily_extent,list_daily_extent,dlr_daily_extent
Processed,1.1144,8.192,151.4976,5.9024,FL-1102031,NA020M,Nicaragua,NIC,1102031,Green,1,2023-05-29T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102031&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102031&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102031,"{'type': 'Point', 'coordinates': [-86.1199647, 12.0027166]}",1.1144,8.28,151.6556,5.9348
Processed,7.2376,10.1984,10.394,33.9392,FL-1102011,OC020M,New Zealand,NZL,1102011,Green,1,2023-05-21T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102011&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102011&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102011,"{'type': 'Point', 'coordinates': [175.943247, -37.4117888]}",7.2376,10.1984,10.394,33.9392
Processed,0.0372,3.94,0.0,0.1592,FL-1102050,AF020M,Central African Republic,CAF,1102050,Green,1,2023-05-24T01:00:00,2023-05-31T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102050&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102050&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102050,"{'type': 'Point', 'coordinates': [20.648473, 8.4111477]}",0.0372,3.94,0.0,0.1592
Processed,7.8912,68.822,24.914,26.5068,FL-1102036,EU020M,Croatia,HRV,1102036,Green,1,2023-05-30T01:00:00,2023-05-30T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102036&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102036&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102036,"{'type': 'Point', 'coordinates': [18.6058278, 45.7697026]}",7.8912,68.822,24.914,26.5068
Processed,18.2088,60.2876,77.1028,124.634,FL-1102029,AF020M,Uganda,UGA,1102029,Green,1,2023-05-25T01:00:00,2023-05-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102029&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102029&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102029,"{'type': 'Point', 'coordinates': [34.2760948579718, 1.34949885]}",18.2088,60.2876,77.1028,124.634
Processed,3.366,21.0084,52.8928,10.9304,FL-1102027,AF020M,Islamic Republic of Iran,IRN,1102027,Green,1,2023-05-27T01:00:00,2023-05-29T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102027&episodeid=2,https://www.gdacs.org/report.aspx?eventid=1102027&episodeid=2&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102027,"{'type': 'Point', 'coordinates': [47.9313001, 38.4583983]}",3.366,21.0084,52.8928,10.9304
Processed,721.3784,1901.9284,699.2084,1086.2552,FL-1102030,EU020M,Romania,ROU,1102030,Green,1,2023-05-26T01:00:00,2023-05-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102030&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102030&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102030,"{'type': 'Point', 'coordinates': [24.6859225, 45.9852129]}",846.914,2953.366,925.9024,1702.2492
Processed,0.0,1.2456,0.0,0.1204,FL-1102032,SA020M,Argentina,ARG,1102032,Green,1,2023-05-25T01:00:00,2023-05-28T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102032&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102032&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102032,"{'type': 'Point', 'coordinates': [-58.2747755526084, -34.7397718]}",0.0,1.2456,0.0,0.1204
Processed,1.346,3.2828,5.912,12.348,FL-1102026,EU020M,The Republic of North Macedonia,MKD,1102026,Green,1,2023-05-25T01:00:00,2023-05-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102026&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102026&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102026,"{'type': 'Point', 'coordinates': [20.9081703, 41.7920222]}",1.346,3.2828,5.912,12.348
Processed,0.1104,1.1964,0.1824,4.3596,FL-1102023,SA020M,Brazil,BRA,1102023,Green,1,2023-05-24T01:00:00,2023-05-26T01:00:00,https://www.gdacs.org/gdacsapi/api/polygons/getgeometry?eventtype=FL&eventid=1102023&episodeid=1,https://www.gdacs.org/report.aspx?eventid=1102023&episodeid=1&eventtype=FL,https://www.gdacs.org/gdacsapi/api/events/geteventdata?eventtype=FL&eventid=1102023,"{'type': 'Point', 'coordinates': [-36.4673179, -6.7562744]}",0.1104,1.1964,0.1824,4.3596
